Autor,Portada,Nombre del Libro,Valoración media,Calificados,Publicado,Descripción,Genero
John Grisham,https://images.gr-assets.com/books/1527031057l/38389488.jpg,The Reckoning,3.91 avg rating,"4,778 ratings",published 2018,"John Grisham's The Reckoning is the master storyteller's most powerful, surprising, and accomplished novel yet ""John Grisham is not only the master of suspense but also an acute observer of the human condition. And these remarkable skills converge in The Reckoning--an original, gripping, penetratingn  John Grisham's The Reckoning is the master storyteller's most powerful, surprising, and accomplished novel yetnn""John Grisham is not only the master of suspense but also an acute observer of the human condition. And these remarkable skills converge in The Reckoning--an original, gripping, penetrating novel that may be his greatest work yet.""--David Grann, New York Times bestselling author of Killers of the Flower MoonnnOctober 1946, Clanton, Mississippi Pete Banning was Clanton, Mississippi's favorite son--a decorated World War II hero, the patriarch of a prominent family, a farmer, father, neighbor, and a faithful member of the Methodist church. Then one cool October morning he rose early, drove into town, walked into the church, and calmly shot and killed his pastor and friend, the Reverend Dexter Bell. As if the murder weren't shocking enough, it was even more baffling that Pete's only statement about it--to the sheriff, to his lawyers, to the judge, to the jury, and to his family--was: ""I have nothing to say."" He was not afraid of death and was willing to take his motive to the grave. In a major novel unlike anything he has written before, John Grisham takes us on an incredible journey, from the Jim Crow South to the jungles of the Philippines during World War II; from an insane asylum filled with secrets to the Clanton courtroom where Pete's defense attorney tries desperately to save him.  Reminiscent of the finest tradition of Southern Gothic storytelling, The Reckoning would not be complete without Grisham's signature layers of legal suspense, and he delivers on every page.",historical-fiction
Heather   Morris,https://images.gr-assets.com/books/1498544161l/35523006.jpg,The Tattooist of Auschwitz,4.36 avg rating,"51,039 ratings",published 2018,"In April 1942, Lale Sokolov, a Slovakian Jew, is forcibly transported to the concentration camps at Auschwitz-Birkenau. When his captors discover that he speaks several languages, he is put to work as a Tätowierer (the German word for tattooist), tasked with permanently marking his fellow prisoners.n  In April 1942, Lale Sokolov, a Slovakian Jew, is forcibly transported to the concentration camps at Auschwitz-Birkenau. When his captors discover that he speaks several languages, he is put to work as a Tätowierer (the German word for tattooist), tasked with permanently marking his fellow prisoners.nnImprisoned for over two and a half years, Lale witnesses horrific atrocities and barbarism—but also incredible acts of bravery and compassion. Risking his own life, he uses his privileged position to exchange jewels and money from murdered Jews for food to keep his fellow prisoners alive.nnOne day in July 1942, Lale, prisoner 32407, comforts a trembling young woman waiting in line to have the number 34902 tattooed onto her arm. Her name is Gita, and in that first encounter, Lale vows to somehow survive the camp and marry her.nnA vivid, harrowing, and ultimately hopeful re-creation of Lale Sokolov's experiences as the man who tattooed the arms of thousands of prisoners with what would become one of the most potent symbols of the Holocaust, The Tattooist of Auschwitz is also a testament to the endurance of love and humanity under the darkest possible conditions.",historical-fiction
Delia Owens,https://images.gr-assets.com/books/1524102644l/36809135.jpg,Where the Crawdads Sing,4.54 avg rating,"20,206 ratings",published 2018,"For years, rumors of the “Marsh Girl” have haunted Barkley Cove, a quiet town on the North Carolina coast. So in late 1969, when handsome Chase Andrews is found dead, the locals immediately suspect Kya Clark, the so-called Marsh Girl. But Kya is not what they say. Sensitive and intelligent, she hasn  For years, rumors of the “Marsh Girl” have haunted Barkley Cove, a quiet town on the North Carolina coast. So in late 1969, when handsome Chase Andrews is found dead, the locals immediately suspect Kya Clark, the so-called Marsh Girl. But Kya is not what they say. Sensitive and intelligent, she has survived for years alone in the marsh that she calls home, finding friends in the gulls and lessons in the sand. Then the time comes when she yearns to be touched and loved. When two young men from town become intrigued by her wild beauty, Kya opens herself to a new life–until the unthinkable happens.nnPerfect for fans of Barbara Kingsolver and Karen Russell, Where the Crawdads Sing is at once an exquisite ode to the natural world, a heartbreaking coming-of-age story, and a surprising tale of possible murder. Owens reminds us that we are forever shaped by the children we once were, and that we are all subject to the beautiful and violent secrets that nature keeps.",historical-fiction
Wendy Webb,https://images.gr-assets.com/books/1532994404l/36530830.jpg,Daughters of the Lake,4.03 avg rating,"6,152 ratings",published 2018,"After the end of her marriage, Kate Granger has retreated to her parents’ home on Lake Superior to pull herself together—only to discover the body of a murdered woman washed into the shallows. Tucked in the folds of the woman’s curiously vintage gown is an infant, as cold and at peace as its mother.n  After the end of her marriage, Kate Granger has retreated to her parents’ home on Lake Superior to pull herself together—only to discover the body of a murdered woman washed into the shallows. Tucked in the folds of the woman’s curiously vintage gown is an infant, as cold and at peace as its mother. No one can identify the woman. Except for Kate. She’s seen her before. In her dreams…nnOne hundred years ago, a love story ended in tragedy, its mysteries left unsolved. It’s time for the lake to give up its secrets. As each mystery unravels, it pulls Kate deeper into the eddy of a haunting folktale that has been handed down in whispers over generations. Now, it’s Kate’s turn to listen.nnAs the drowned woman reaches out from the grave, Kate reaches back. They must come together, if only in dreams, to right the sinister wrongs of the past.",historical-fiction
Sejal Badani,https://images.gr-assets.com/books/1532349121l/35889205.jpg,The Storyteller's Secret,4.47 avg rating,"17,424 ratings",published 2018,"From the bestselling author of Trail of Broken Wings comes an epic story of the unrelenting force of love, the power of healing, and the invincible desire to dream. Nothing prepares Jaya, a New York journalist, for the heartbreak of her third miscarriage and the slow unraveling of her marriage in itn  From the bestselling author of Trail of Broken Wings comes an epic story of the unrelenting force of love, the power of healing, and the invincible desire to dream.nnNothing prepares Jaya, a New York journalist, for the heartbreak of her third miscarriage and the slow unraveling of her marriage in its wake. Desperate to assuage her deep anguish, she decides to go to India to uncover answers to her family’s past.nnIntoxicated by the sights, smells, and sounds she experiences, Jaya becomes an eager student of the culture. But it is Ravi—her grandmother’s former servant and trusted confidant—who reveals the resilience, struggles, secret love, and tragic fall of Jaya’s pioneering grandmother during the British occupation. Through her courageous grandmother’s arrestingly romantic and heart-wrenching story, Jaya discovers the legacy bequeathed to her and a strength that, until now, she never knew was possible.",historical-fiction
Kristin Hannah,https://images.gr-assets.com/books/1501852423l/34912895.jpg,The Great Alone,4.33 avg rating,"129,558 ratings",published 2018,"Alaska, 1974. Unpredictable. Unforgiving. Untamed. For a family in crisis, the ultimate test of survival. Ernt Allbright, a former POW, comes home from the Vietnam war a changed and volatile man. When he loses yet another job, he makes an impulsive decision: he will move his family north, to Alaska,n  Alaska, 1974.nUnpredictable. Unforgiving. Untamed.nFor a family in crisis, the ultimate test of survival.nnErnt Allbright, a former POW, comes home from the Vietnam war a changed and volatile man. When he loses yet another job, he makes an impulsive decision: he will move his family north, to Alaska, where they will live off the grid in America’s last true frontier.nnThirteen-year-old Leni, a girl coming of age in a tumultuous time, caught in the riptide of her parents’ passionate, stormy relationship, dares to hope that a new land will lead to a better future for her family. She is desperate for a place to belong. Her mother, Cora, will do anything and go anywhere for the man she loves, even if it means following him into the unknownnnAt first, Alaska seems to be the answer to their prayers. In a wild, remote corner of the state, they find a fiercely independent community of strong men and even stronger women. The long, sunlit days and the generosity of the locals make up for the Allbrights’ lack of preparation and dwindling resources.nnBut as winter approaches and darkness descends on Alaska, Ernt’s fragile mental state deteriorates and the family begins to fracture. Soon the perils outside pale in comparison to threats from within. In their small cabin, covered in snow, blanketed in eighteen hours of night, Leni and her mother learn the terrible truth: they are on their own. In the wild, there is no one to save them but themselves.nnIn this unforgettable portrait of human frailty and resilience, Kristin Hannah reveals the indomitable character of the modern American pioneer and the spirit of a vanishing Alaska―a place of incomparable beauty and danger. The Great Alone is a daring, beautiful, stay-up-all-night story about love and loss, the fight for survival, and the wildness that lives in both man and nature.",historical-fiction
Lisa Wingate,https://images.gr-assets.com/books/1498910914l/32148570.jpg,Before We Were Yours,4.37 avg rating,"163,340 ratings",published 2017,"THE BLOCKBUSTER HIT—A New York Times, USA Today, Wall Street Journal, and Publishers Weekly Bestseller For readers of Orphan Train and The Nightingale comes a “thought-provoking [and] complex tale about two families, two generations apart . . . based on a notorious true-life scandal.”* Memphis, 1939n  THE BLOCKBUSTER HIT—A New York Times, USA Today, Wall Street Journal, and Publishers Weekly BestsellernnFor readers of Orphan Train and The Nightingale comes a “thought-provoking [and] complex tale about two families, two generations apart . . . based on a notorious true-life scandal.”*nnMemphis, 1939. Twelve-year-old Rill Foss and her four younger siblings live a magical life aboard their family’s Mississippi River shantyboat. But when their father must rush their mother to the hospital one stormy night, Rill is left in charge—until strangers arrive in force. Wrenched from all that is familiar and thrown into a Tennessee Children’s Home Society orphanage, the Foss children are assured that they will soon be returned to their parents—but they quickly realize the dark truth. At the mercy of the facility’s cruel director, Rill fights to keep her sisters and brother together in a world of danger and uncertainty.nnAiken, South Carolina, present day. Born into wealth and privilege, Avery Stafford seems to have it all: a successful career as a federal prosecutor, a handsome fiancé, and a lavish wedding on the horizon. But when Avery returns home to help her father weather a health crisis, a chance encounter leaves her with uncomfortable questions and compels her to take a journey through her family’s long-hidden history, on a path that will ultimately lead either to devastation or to redemption.nnBased on one of America’s most notorious real-life scandals—in which Georgia Tann, director of a Memphis-based adoption organization, kidnapped and sold poor children to wealthy families all over the country—Lisa Wingate’s riveting, wrenching, and ultimately uplifting tale reminds us how, even though the paths we take can lead to many places, the heart never forgets where we belong.",historical-fiction
Rhys Bowen,https://images.gr-assets.com/books/1507626327l/36097619.jpg,The Tuscan Child,3.99 avg rating,"30,749 ratings",published 2018,"A novel about a woman who braves her father’s hidden past to discover his secrets… In 1944, British bomber pilot Hugo Langley parachuted from his stricken plane into the verdant fields of German-occupied Tuscany. Badly wounded, he found refuge in a ruined monastery and in the arms of Sofia Bartoli.n  A novel about a woman who braves her father’s hidden past to discover his secrets…nnIn 1944, British bomber pilot Hugo Langley parachuted from his stricken plane into the verdant fields of German-occupied Tuscany. Badly wounded, he found refuge in a ruined monastery and in the arms of Sofia Bartoli. But the love that kindled between them was shaken by an irreversible betrayal.nnNearly thirty years later, Hugo’s estranged daughter, Joanna, has returned home to the English countryside to arrange her father’s funeral. Among his personal effects is an unopened letter addressed to Sofia. In it is a startling revelation.nnStill dealing with the emotional wounds of her own personal trauma, Joanna embarks on a healing journey to Tuscany to understand her father’s history—and maybe come to understand herself as well. Joanna soon discovers that some would prefer the past be left undisturbed, but she has come too far to let go of her father’s secrets now…",historical-fiction
Emily Gunnis,https://images.gr-assets.com/books/1526945484l/40189902.jpg,The Girl in the Letter,3.96 avg rating,"5,493 ratings",published 2018,"Gripping. Mesmerising. Haunting. Heart-breaking. Once you've heard her story, you will never forget The Girl in the Letter. Perfect for fans of Kate Morton, Lesley Pearse and Kathryn Hughes, this page-turning, moving novel of separation and long-buried secrets will stay with you forever. A heartbrean  Gripping. Mesmerising. Haunting. Heart-breaking. Once you've heard her story, you will never forget The Girl in the Letter. Perfect for fans of Kate Morton, Lesley Pearse and Kathryn Hughes, this page-turning, moving novel of separation and long-buried secrets will stay with you forever.nnA heartbreaking letter. A girl locked away. A mystery to be solved.nn1956. When Ivy Jenkins falls pregnant she is sent in disgrace to St Margaret's, a dark, brooding house for unmarried mothers. Her baby is adopted against her will. Ivy will never leave.nnPresent day. Samantha Harper is a journalist desperate for a break. When she stumbles on a letter from the past, the contents shock and move her. The letter is from a young mother, begging to be rescued from St Margaret's. Before it is too late.nnSam is pulled into the tragic story and discovers a spate of unexplained deaths surrounding the woman and her child. With St Margaret's set for demolition, Sam has only hours to piece together a sixty-year-old mystery before the truth, which lies disturbingly close to home, is lost forever ...nnRead her letter. Remember her story ...",historical-fiction
Olivia Hawker,https://images.gr-assets.com/books/1534851337l/38096424.jpg,The Ragged Edge of Night,4.18 avg rating,"6,725 ratings",published 2018,"For fans of All the Light We Cannot See, Beneath a Scarlet Sky, and The Nightingale comes an emotionally gripping, beautifully written historical novel about extraordinary hope, redemption, and one man’s search for light during the darkest times of World War II. Germany, 1942. Franciscan friar Antonn  For fans of All the Light We Cannot See, Beneath a Scarlet Sky, and The Nightingale comes an emotionally gripping, beautifully written historical novel about extraordinary hope, redemption, and one man’s search for light during the darkest times of World War II.nnGermany, 1942. Franciscan friar Anton Starzmann is stripped of his place in the world when his school is seized by the Nazis. He relocates to a small German hamlet to wed Elisabeth Herter, a widow who seeks a marriage—in name only—to a man who can help raise her three children. Anton seeks something too—atonement for failing to protect his young students from the wrath of the Nazis. But neither he nor Elisabeth expects their lives to be shaken once again by the inescapable rumble of war. nnAs Anton struggles to adapt to the roles of husband and father, he learns of the Red Orchestra, an underground network of resisters plotting to assassinate Hitler. Despite Elisabeth’s reservations, Anton joins this army of shadows. But when the SS discovers his schemes, Anton will embark on a final act of defiance that may cost him his life—even if it means saying goodbye to the family he has come to love more than he ever believed possible.",historical-fiction
