Autor,Portada,Nombre del Libro,Valoración media,Calificados,Publicado,Descripción,Genero
Mackenzi Lee,https://images.gr-assets.com/books/1522625323l/37880094.jpg,"The Lady's Guide to Petticoats and Piracy (Montague Siblings, #2)",4.32 avg rating,"3,509 ratings",published 2018,"In this highly anticipated sequel to the New York Times bestselling The Gentleman’s Guide to Vice and Virtue, Felicity Montague must use all her womanly wits and wiles to achieve her dreams of becoming a doctor—even if she has to scheme her way across Europe to do it. A must-have for fans of Mackenzn  In this highly anticipated sequel to the New York Times bestselling The Gentleman’s Guide to Vice and Virtue, Felicity Montague must use all her womanly wits and wiles to achieve her dreams of becoming a doctor—even if she has to scheme her way across Europe to do it. A must-have for fans of Mackenzi Lee’s extraordinary and Stonewall Honor-winning novel.nnA year after an accidentally whirlwind grand tour with her brother Monty, Felicity Montague has returned to England with two goals in mind—avoid the marriage proposal of a lovestruck suitor from Edinburgh and enroll in medical school. However, her intellect and passion will never be enough in the eyes of the administrators, who see men as the sole guardians of science.nnBut then a window of opportunity opens—a doctor she idolizes is marrying an old friend of hers in Germany. Felicity believes if she could meet this man he could change her future, but she has no money of her own to make the trip. Luckily, a mysterious young woman is willing to pay Felicity’s way, so long as she’s allowed to travel with Felicity disguised as her maid.nnIn spite of her suspicions, Felicity agrees, but once the girl’s true motives are revealed, Felicity becomes part of a perilous quest that leads them from the German countryside to the promenades of Zurich to secrets lurking beneath the Atlantic.",historical-fiction
Hester Fox,https://images.gr-assets.com/books/1521682980l/37007910.jpg,The Witch of Willow Hall,3.83 avg rating,"1,176 ratings",published 2018,"Two centuries after the Salem witch trials, there’s still one witch left in Massachusetts. But she doesn’t even know it. Take this as a warning: if you are not able or willing to control yourself, it will not only be you who suffers the consequences but those around you, as well. New Oldbury, 1821 In  Two centuries after the Salem witch trials, there’s still one witch left in Massachusetts. But she doesn’t even know it.nnTake this as a warning: if you are not able or willing to control yourself, it will not only be you who suffers the consequences but those around you, as well.nnNew Oldbury, 1821 nnIn the wake of a scandal, the Montrose family and their three daughters—Catherine, Lydia, and Emeline—flee Boston for their new country home, Willow Hall. The estate seems sleepy and idyllic. But a subtle menace creeps into the atmosphere, remnants of a dark history that call to Lydia, and to the youngest, Emeline.nnAll three daughters will be irrevocably changed by what follows, but none more than Lydia, who must draw on a power she never knew she possessed if she wants to protect those she loves. For Willow Hall’s secrets will rise, in the end…",historical-fiction
Sarah McCoy,https://images.gr-assets.com/books/1519579137l/36670752.jpg,Marilla of Green Gables,4.14 avg rating,512 ratings,published 2018,"A bold, heartfelt tale of life at Green Gables . . . before Anne: A marvelously entertaining and moving historical novel, set in rural Prince Edward Island in the nineteenth century, that imagines the young life of spinster Marilla Cuthbert, and the choices that will open her life to the possibilityn  A bold, heartfelt tale of life at Green Gables . . . before Anne: A marvelously entertaining and moving historical novel, set in rural Prince Edward Island in the nineteenth century, that imagines the young life of spinster Marilla Cuthbert, and the choices that will open her life to the possibility of heartbreak—and unimaginable greatnessnnPlucky and ambitious, Marilla Cuthbert is thirteen years old when her world is turned upside down. Her beloved mother has dies in childbirth, and Marilla suddenly must bear the responsibilities of a farm wife: cooking, sewing, keeping house, and overseeing the day-to-day life of Green Gables with her brother, Matthew and father, Hugh.nnIn Avonlea—a small, tight-knit farming town on a remote island—life holds few options for farm girls. Her one connection to the wider world is Aunt Elizabeth “Izzy” Johnson, her mother’s sister, who managed to escape from Avonlea to the bustling city of St. Catharines. An opinionated spinster, Aunt Izzy’s talent as a seamstress has allowed her to build a thriving business and make her own way in the world.nnEmboldened by her aunt, Marilla dares to venture beyond the safety of Green Gables and discovers new friends and new opportunities. Joining the Ladies Aid Society, she raises funds for an orphanage run by the Sisters of Charity in nearby Nova Scotia that secretly serves as a way station for runaway slaves from America. Her budding romance with John Blythe, the charming son of a neighbor, offers her a possibility of future happiness—Marilla is in no rush to trade one farm life for another. She soon finds herself caught up in the dangerous work of politics, and abolition—jeopardizing all she cherishes, including her bond with her dearest John Blythe. Now Marilla must face a reckoning between her dreams of making a difference in the wider world and the small-town reality of life at Green Gables.",historical-fiction
Lou Berney,https://images.gr-assets.com/books/1527113022l/35430011.jpg,November Road,3.86 avg rating,"1,818 ratings",published 2018,"Set against the assassination of JFK, a poignant and evocative crime novel that centers on a desperate cat-and-mouse chase across 1960s America—a story of unexpected connections, daring possibilities, and the hope of second chances from the Edgar Award-winning author of The Long and Faraway Gone. Frn  Set against the assassination of JFK, a poignant and evocative crime novel that centers on a desperate cat-and-mouse chase across 1960s America—a story of unexpected connections, daring possibilities, and the hope of second chances from the Edgar Award-winning author of The Long and Faraway Gone.nnFrank Guidry’s luck has finally run out.nnA loyal street lieutenant to New Orleans’ mob boss Carlos Marcello, Guidry has learned that everybody is expendable. But now it’s his turn—he knows too much about the crime of the century: the assassination of President John F. Kennedy.nnWithin hours of JFK’s murder, everyone with ties to Marcello is turning up dead, and Guidry suspects he’s next: he was in Dallas on an errand for the boss less than two weeks before the president was shot. With few good options, Guidry hits the road to Las Vegas, to see an old associate—a dangerous man who hates Marcello enough to help Guidry vanish.nnGuidry knows that the first rule of running is ""don’t stop,"" but when he sees a beautiful housewife on the side of the road with a broken-down car, two little daughters and a dog in the back seat, he sees the perfect disguise to cover his tracks from the hit men on his tail. Posing as an insurance man, Guidry offers to help Charlotte reach her destination, California. If she accompanies him to Vegas, he can help her get a new car.nnFor her, it’s more than a car— it’s an escape. She’s on the run too, from a stifling existence in small-town Oklahoma and a kindly husband who’s a hopeless drunk.nnIt’s an American story: two strangers meet to share the open road west, a dream, a hope—and find each other on the way.nnCharlotte sees that he’s strong and kind; Guidry discovers that she’s smart and funny. He learns that’s she determined to give herself and her kids a new life; she can’t know that he’s desperate to leave his old one behind.nnAnother rule—fugitives shouldn’t fall in love, especially with each other. A road isn’t just a road, it’s a trail, and Guidry’s ruthless and relentless hunters are closing in on him. But now Guidry doesn’t want to just survive, he wants to really live, maybe for the first time.nnEveryone’s expendable, or they should be, but now Guidry just can’t throw away the woman he’s come to love.nnAnd it might get them both killed.",historical-fiction
Dacre Stoker,https://images.gr-assets.com/books/1524797501l/36193316.jpg,Dracul,4.19 avg rating,793 ratings,published 2018,"The prequel to Dracula, inspired by notes and texts left behind by the author of the classic novel, Dracul is a riveting novel of gothic suspense that reveals not only Dracula's true origins but Bram Stoker's -- and the tale of the enigmatic woman who connects them. It is 1868, and a twenty-one-yearn  The prequel to Dracula, inspired by notes and texts left behind by the author of the classic novel, Dracul is a riveting novel of gothic suspense that reveals not only Dracula's true origins but Bram Stoker's -- and the tale of the enigmatic woman who connects them.nnIt is 1868, and a twenty-one-year-old Bram Stoker waits in a desolate tower to face an indescribable evil. Armed only with crucifixes, holy water, and a rifle, he prays to survive a single night, the longest of his life. Desperate to record what he has witnessed, Bram scribbles down the events that led him here...nnA sickly child, Bram spent his early days bedridden in his parents' Dublin home, tended to by his caretaker, a young woman named Ellen Crone. When a string of strange deaths occur in a nearby town, Bram and his sister Matilda detect a pattern of bizarre behavior by Ellen -- a mystery that deepens chillingly until Ellen vanishes suddenly from their lives. Years later, Matilda returns from studying in Paris to tell Bram the news that she has seen Ellen -- and that the nightmare they've thought long ended is only beginning.",historical-fiction
Tatiana de Rosnay,https://images.gr-assets.com/books/1518378458l/37638024.jpg,The Rain Watcher,3.36 avg rating,763 ratings,published 2018,"The first new novel in four years from the beloved superstar author of Sarah's Key, a heartbreaking and uplifting story of family secrets and devastating disaster, in the tradition of THE NEST. The Rain Watcher is a powerful family drama set in Paris as the Malegarde family gathers to celebrate then  The first new novel in four years from the beloved superstar author of Sarah's Key, a heartbreaking and uplifting story of family secrets and devastating disaster, in the tradition of THE NEST.nnThe Rain Watcher is a powerful family drama set in Paris as the Malegarde family gathers to celebrate the father's 70th birthday. Their hidden fears and secrets are slowly unraveled as the City of Light undergoes a stunning natural disaster. Seen through the eyes of charismatic photographer Linden Malegarde, the youngest son, all members of the family will have to fight to keep their unity against tragic circumstances.nnIn this profound and intense novel of love and redemption, De Rosnay demonstrates all of her writer's skills both as an incredible storyteller but also as a soul seeker.",historical-fiction
Virginia Boecker,https://images.gr-assets.com/books/1519265385l/37678396.jpg,An Assassin's Guide to Love and Treason,3.93 avg rating,190 ratings,published 2018,"When Lady Katherine's father is killed for being an illegally practicing Catholic, she discovers treason wasn't the only secret he's been hiding: he was also involved in a murder plot against the reigning Queen Elizabeth I. With nothing left to lose, Katherine disguises herself as a boy and travelsn  When Lady Katherine's father is killed for being an illegally practicing Catholic, she discovers treason wasn't the only secret he's been hiding: he was also involved in a murder plot against the reigning Queen Elizabeth I. With nothing left to lose, Katherine disguises herself as a boy and travels to London to fulfill her father's mission, and to take it one step further--kill the queen herself.nnKatherine's opportunity comes in the form of William Shakespeare's newest play, which is to be performed in front of Her Majesty. But what she doesn't know is that the play is not just a play--it's a plot to root out insurrectionists and destroy the rebellion once and for all.nnThe mastermind behind this ruse is Toby Ellis, a young spy for the queen with secrets of his own. When Toby and Katherine are cast opposite each other as the play's leads, they find themselves inexplicably drawn to one another. But the closer they grow, the more precarious their positions become. And soon they learn that star-crossed love, mistaken identity, and betrayal are far more dangerous off the stage than on.",historical-fiction
Hazel Gaynor,https://images.gr-assets.com/books/1519492053l/36300666.jpg,The Lighthouse Keeper's Daughter,4.16 avg rating,517 ratings,published 2018,"“They call me a heroine, but I am not deserving of such accolades. I am just an ordinary young woman who did her duty.” 1838: Northumberland, England. Longstone Lighthouse on the Farne Islands has been Grace Darling’s home for all of her twenty-two years. When she and her father rescue shipwreck surn  “They call me a heroine, but I am not deserving of such accolades. I am just an ordinary young woman who did her duty.”nn1838: Northumberland, England. Longstone Lighthouse on the Farne Islands has been Grace Darling’s home for all of her twenty-two years. When she and her father rescue shipwreck survivors in a furious storm, Grace becomes celebrated throughout England, the subject of poems, ballads, and plays. But far more precious than her unsought fame is the friendship that develops between Grace and a visiting artist. Just as George Emmerson captures Grace with his brushes, she in turn captures his heart.nn1938: Newport, Rhode Island. Nineteen-years-old and pregnant, Matilda Emmerson has been sent away from Ireland in disgrace. She is to stay with Harriet, a reclusive relative and assistant lighthouse keeper, until her baby is born. A discarded, half-finished portrait opens a window into Matilda’s family history. As a deadly hurricane approaches, two women, living a century apart, will be linked forever by their instinctive acts of courage and love.",historical-fiction
Laura E. Weymouth,https://images.gr-assets.com/books/1526501437l/34842042.jpg,The Light Between Worlds,4.11 avg rating,318 ratings,published 2018,"Five years ago, Evelyn and Philippa Hapwell cowered from air strikes in a London bomb shelter. But that night took a turn when the sisters were transported to another realm called the Woodlands. In a forest kingdom populated by creatures out of myth and legend, they found temporary refuge. When theyn  Five years ago, Evelyn and Philippa Hapwell cowered from air strikes in a London bomb shelter. But that night took a turn when the sisters were transported to another realm called the Woodlands. In a forest kingdom populated by creatures out of myth and legend, they found temporary refuge. nnWhen they finally returned to London, nothing had changed at all—nothing, except themselves. nnNow, Ev spends her days sneaking into the woods outside her boarding school, wishing for the Woodlands. Overcome with longing, she is desperate to return no matter what it takes. nnPhilippa, on the other hand, is determined to find a place in this world. She shields herself behind a flawless exterior and countless friends, and moves to America to escape the memory of what was. nnBut when Evelyn goes missing, Philippa must confront the depth of her sister’s despair and the painful truths they’ve been running from. As the weeks unfold, Philippa wonders if Ev truly did find a way home, or if the weight of their worlds pulled her under.nnContent warnings are available at www.lauraeweymouth.com/books",historical-fiction
Patti Callahan,https://images.gr-assets.com/books/1520907629l/39189837.jpg,Becoming Mrs. Lewis,4.07 avg rating,918 ratings,published 2018,"In a most improbable friendship, she found love. In a world where women were silenced, she found her voice. From New York Times bestselling author Patti Callahan comes an exquisite novel of Joy Davidman, the woman C. S. Lewis called “my whole world.” When poet and writer Joy Davidman began writing ln  In a most improbable friendship, she found love. In a world where women were silenced, she found her voice.nnFrom New York Times bestselling author Patti Callahan comes an exquisite novel of Joy Davidman, the woman C. S. Lewis called “my whole world.” When poet and writer Joy Davidman began writing letters to C. S. Lewis—known as Jack—she was looking for spiritual answers, not love. Love, after all, wasn’t holding together her crumbling marriage. Everything about New Yorker Joy seemed ill-matched for an Oxford don and the beloved writer of Narnia, yet their minds bonded over their letters. Embarking on the adventure of her life, Joy traveled from America to England and back again, facing heartbreak and poverty, discovering friendship and faith, and against all odds, finding a love that even the threat of death couldn’t destroy.nnIn this masterful exploration of one of the greatest love stories of modern times, we meet a brilliant writer, a fiercely independent mother, and a passionate woman who changed the life of this respected author and inspired books that still enchant us and change us. Joy lived at a time when women weren’t meant to have a voice—and yet her love for Jack gave them both voices they didn’t know they had.nnAt once a fascinating historical novel and a glimpse into a writer’s life, Becoming Mrs. Lewis is above all a love story—a love of literature and ideas and a love between a husband and wife that, in the end, was not impossible at all.",historical-fiction
